King,Jefferson,Clark,Kitsap,Thurston,Snohomish,Yakima,Island,Cowlitz,Stevens,Clallam,Klickitat,State Total
56269.0,459.0,7686.0,2916,2050.0,4017.0,341.0,176.0,695.0,30.0,72.0,30.0,74741.0
57238.0,466.0,7861.0,2968,2095.0,4077.0,350.0,178.0,708.0,30.0,72.0,30.0,76073.0
58019.0,474.0,7983.0,3018,2128.0,4147.0,359.0,184.0,722.0,31.0,74.0,30.0,77169.0
59325.0,485.0,8196.0,3093,2190.0,4222.0,367.0,187.0,734.0,31.0,75.0,30.0,78935.0
60174.0,488.0,8314.0,3149,2224.0,4306.0,375.0,190.0,746.0,31.0,76.0,32.0,80105.0
62408.0,498.0,8658.0,3287,2308.0,4477.0,395.0,197.0,778.0,33.0,77.0,34.0,83150.0
63970.0,510.0,8906.0,3383,2379.0,4611.0,406.0,205.0,797.0,33.0,77.0,35.0,85312.0
65456.0,522.0,9135.0,3468,2438.0,4749.0,431.0,219.0,827.0,35.0,78.0,36.0,87394.0
67000.0,532.0,9349.0,3552,2531.0,4872.0,454.0,222.0,843.0,38.0,80.0,37.0,89510.0
68236.0,541.0,9542.0,3620,2580.0,4950.0,466.0,226.0,854.0,39.0,83.0,37.0,91174.0
69614.0,554.0,9759.0,3708,2655.0,5074.0,479.0,232.0,868.0,39.0,85.0,40.0,93107.0
71507.0,564.0,10033.0,3821,2721.0,5216.0,499.0,240.0,894.0,39.0,87.0,43.0,95664.0
72626.0,575.0,10178.0,3893,2762.0,5289.0,510.0,244.0,908.0,39.0,89.0,43.0,97156.0
73901.0,583.0,10433.0,3978,2822.0,5364.0,527.0,248.0,928.0,39.0,90.0,45.0,98958.0
75726.0,598.0,10687.0,4042,2881.0,5467.0,540.0,261.0,946.0,39.0,95.0,46.0,101328.0
77074.0,613.0,10869.0,4106,2939.0,5529.0,551.0,268.0,960.0,40.0,96.0,48.0,103093.0
78202.0,624.0,11059.0,4164,2992.0,5619.0,563.0,271.0,978.0,40.0,96.0,48.0,104656.0
79647.0,633.0,11288.0,4243,3059.0,5751.0,575.0,280.0,1013.0,44.0,97.0,49.0,106679.0
